Nivel de formación alcanzado;Sexo;Periodo;Total
Menos que primaria (nivel 0);Ambos sexos;2024;28,23
Menos que primaria (nivel 0);Ambos sexos;2023;25,04
Menos que primaria (nivel 0);Ambos sexos;2022;27,77
Menos que primaria (nivel 0);Ambos sexos;2021;30,21
Menos que primaria (nivel 0);Mujeres;2024;35,83
Menos que primaria (nivel 0);Mujeres;2023;31,44
Menos que primaria (nivel 0);Mujeres;2022;35,95
Menos que primaria (nivel 0);Mujeres;2021;39,11
Menos que primaria (nivel 0);Hombres;2024;23,49
Menos que primaria (nivel 0);Hombres;2023;20,89
Menos que primaria (nivel 0);Hombres;2022;23,42
Menos que primaria (nivel 0);Hombres;2021;25,03
Educación primaria y primera etapa de educación secundaria  (niveles 1 y 2);Ambos sexos;2024;16,52
Educación primaria y primera etapa de educación secundaria  (niveles 1 y 2);Ambos sexos;2023;17,66
Educación primaria y primera etapa de educación secundaria  (niveles 1 y 2);Ambos sexos;2022;18,94
Educación primaria y primera etapa de educación secundaria  (niveles 1 y 2);Ambos sexos;2021;21,12
Educación primaria y primera etapa de educación secundaria  (niveles 1 y 2);Mujeres;2024;20,3
Educación primaria y primera etapa de educación secundaria  (niveles 1 y 2);Mujeres;2023;21,89
Educación primaria y primera etapa de educación secundaria  (niveles 1 y 2);Mujeres;2022;23,47
Educación primaria y primera etapa de educación secundaria  (niveles 1 y 2);Mujeres;2021;26,11
Educación primaria y primera etapa de educación secundaria  (niveles 1 y 2);Hombres;2024;14,05
Educación primaria y primera etapa de educación secundaria  (niveles 1 y 2);Hombres;2023;14,9
Educación primaria y primera etapa de educación secundaria  (niveles 1 y 2);Hombres;2022;16,02
Educación primaria y primera etapa de educación secundaria  (niveles 1 y 2);Hombres;2021;17,94
Segunda etapa de educación secundaria y educación postsecundaria no superior (niveles 3 y 4);Ambos sexos;2024;12,28
Segunda etapa de educación secundaria y educación postsecundaria no superior (niveles 3 y 4);Ambos sexos;2023;13,28
Segunda etapa de educación secundaria y educación postsecundaria no superior (niveles 3 y 4);Ambos sexos;2022;14,16
Segunda etapa de educación secundaria y educación postsecundaria no superior (niveles 3 y 4);Ambos sexos;2021;16,14
Segunda etapa de educación secundaria y educación postsecundaria no superior (niveles 3 y 4);Mujeres;2024;13,91
Segunda etapa de educación secundaria y educación postsecundaria no superior (niveles 3 y 4);Mujeres;2023;15,49
Segunda etapa de educación secundaria y educación postsecundaria no superior (niveles 3 y 4);Mujeres;2022;17,07
Segunda etapa de educación secundaria y educación postsecundaria no superior (niveles 3 y 4);Mujeres;2021;18,9
Segunda etapa de educación secundaria y educación postsecundaria no superior (niveles 3 y 4);Hombres;2024;10,84
Segunda etapa de educación secundaria y educación postsecundaria no superior (niveles 3 y 4);Hombres;2023;11,33
Segunda etapa de educación secundaria y educación postsecundaria no superior (niveles 3 y 4);Hombres;2022;11,66
Segunda etapa de educación secundaria y educación postsecundaria no superior (niveles 3 y 4);Hombres;2021;13,67
Educación superior (terciaria)(niveles 5 a 8);Ambos sexos;2024;6,9
Educación superior (terciaria)(niveles 5 a 8);Ambos sexos;2023;7,39
Educación superior (terciaria)(niveles 5 a 8);Ambos sexos;2022;7,72
Educación superior (terciaria)(niveles 5 a 8);Ambos sexos;2021;9,29
Educación superior (terciaria)(niveles 5 a 8);Mujeres;2024;7,79
Educación superior (terciaria)(niveles 5 a 8);Mujeres;2023;8,55
Educación superior (terciaria)(niveles 5 a 8);Mujeres;2022;8,87
Educación superior (terciaria)(niveles 5 a 8);Mujeres;2021;10,38
Educación superior (terciaria)(niveles 5 a 8);Hombres;2024;5,91
Educación superior (terciaria)(niveles 5 a 8);Hombres;2023;6,07
Educación superior (terciaria)(niveles 5 a 8);Hombres;2022;6,41
Educación superior (terciaria)(niveles 5 a 8);Hombres;2021;8,06
