Sexo;Total Nacional;Comunidades y Ciudades Autónomas;Componentes del salario bruto anual;Año de referencia;Total
Ambos sexos;Total Nacional;;Salario bruto;2022;26.948,87
Ambos sexos;Total Nacional;;Pagos extraordinarios;2022;2.609,30
Ambos sexos;Total Nacional;;Valoración en especie;2022;147,64
Ambos sexos;Total Nacional;;Salario ordinario;2022;24.191,93
Ambos sexos;Total Nacional;01 Andalucía;Salario bruto;2022;24.041,96
Ambos sexos;Total Nacional;01 Andalucía;Pagos extraordinarios;2022;1.826,60
Ambos sexos;Total Nacional;01 Andalucía;Valoración en especie;2022;83,43
Ambos sexos;Total Nacional;01 Andalucía;Salario ordinario;2022;22.131,93
Ambos sexos;Total Nacional;02 Aragón;Salario bruto;2022;26.012,71
Ambos sexos;Total Nacional;02 Aragón;Pagos extraordinarios;2022;2.424,27
Ambos sexos;Total Nacional;02 Aragón;Valoración en especie;2022;92,62
Ambos sexos;Total Nacional;02 Aragón;Salario ordinario;2022;23.495,82
Ambos sexos;Total Nacional;03 Asturias, Principado de;Salario bruto;2022;26.745,93
Ambos sexos;Total Nacional;03 Asturias, Principado de;Pagos extraordinarios;2022;3.048,39
Ambos sexos;Total Nacional;03 Asturias, Principado de;Valoración en especie;2022;129,66
Ambos sexos;Total Nacional;03 Asturias, Principado de;Salario ordinario;2022;23.567,88
Ambos sexos;Total Nacional;04 Balears, Illes;Salario bruto;2022;27.145,79
Ambos sexos;Total Nacional;04 Balears, Illes;Pagos extraordinarios;2022;2.371,42
Ambos sexos;Total Nacional;04 Balears, Illes;Valoración en especie;2022;78,89
Ambos sexos;Total Nacional;04 Balears, Illes;Salario ordinario;2022;24.695,48
Ambos sexos;Total Nacional;05 Canarias;Salario bruto;2022;23.096,92
Ambos sexos;Total Nacional;05 Canarias;Pagos extraordinarios;2022;1.774,08
Ambos sexos;Total Nacional;05 Canarias;Valoración en especie;2022;70,65
Ambos sexos;Total Nacional;05 Canarias;Salario ordinario;2022;21.252,19
Ambos sexos;Total Nacional;06 Cantabria;Salario bruto;2022;25.291,14
Ambos sexos;Total Nacional;06 Cantabria;Pagos extraordinarios;2022;2.377,46
Ambos sexos;Total Nacional;06 Cantabria;Valoración en especie;2022;77,41
Ambos sexos;Total Nacional;06 Cantabria;Salario ordinario;2022;22.836,27
Ambos sexos;Total Nacional;07 Castilla y León;Salario bruto;2022;24.186,89
Ambos sexos;Total Nacional;07 Castilla y León;Pagos extraordinarios;2022;2.475,28
Ambos sexos;Total Nacional;07 Castilla y León;Valoración en especie;2022;86,60
Ambos sexos;Total Nacional;07 Castilla y León;Salario ordinario;2022;21.625,01
Ambos sexos;Total Nacional;08 Castilla - La Mancha;Salario bruto;2022;23.751,71
Ambos sexos;Total Nacional;08 Castilla - La Mancha;Pagos extraordinarios;2022;2.026,47
Ambos sexos;Total Nacional;08 Castilla - La Mancha;Valoración en especie;2022;85,82
Ambos sexos;Total Nacional;08 Castilla - La Mancha;Salario ordinario;2022;21.639,42
Ambos sexos;Total Nacional;09 Cataluña;Salario bruto;2022;28.774,55
Ambos sexos;Total Nacional;09 Cataluña;Pagos extraordinarios;2022;2.929,38
Ambos sexos;Total Nacional;09 Cataluña;Valoración en especie;2022;186,26
Ambos sexos;Total Nacional;09 Cataluña;Salario ordinario;2022;25.658,91
Ambos sexos;Total Nacional;10 Comunitat Valenciana;Salario bruto;2022;24.510,34
Ambos sexos;Total Nacional;10 Comunitat Valenciana;Pagos extraordinarios;2022;2.290,08
Ambos sexos;Total Nacional;10 Comunitat Valenciana;Valoración en especie;2022;92,16
Ambos sexos;Total Nacional;10 Comunitat Valenciana;Salario ordinario;2022;22.128,10
Ambos sexos;Total Nacional;11 Extremadura;Salario bruto;2022;21.922,73
Ambos sexos;Total Nacional;11 Extremadura;Pagos extraordinarios;2022;1.561,39
Ambos sexos;Total Nacional;11 Extremadura;Valoración en especie;2022;46,95
Ambos sexos;Total Nacional;11 Extremadura;Salario ordinario;2022;20.314,39
Ambos sexos;Total Nacional;12 Galicia;Salario bruto;2022;24.169,68
Ambos sexos;Total Nacional;12 Galicia;Pagos extraordinarios;2022;2.289,08
Ambos sexos;Total Nacional;12 Galicia;Valoración en especie;2022;66,59
Ambos sexos;Total Nacional;12 Galicia;Salario ordinario;2022;21.814,01
Ambos sexos;Total Nacional;13 Madrid, Comunidad de;Salario bruto;2022;31.230,73
Ambos sexos;Total Nacional;13 Madrid, Comunidad de;Pagos extraordinarios;2022;3.405,28
Ambos sexos;Total Nacional;13 Madrid, Comunidad de;Valoración en especie;2022;300,88
Ambos sexos;Total Nacional;13 Madrid, Comunidad de;Salario ordinario;2022;27.524,57
Ambos sexos;Total Nacional;14 Murcia, Región de;Salario bruto;2022;23.851,69
Ambos sexos;Total Nacional;14 Murcia, Región de;Pagos extraordinarios;2022;2.354,81
Ambos sexos;Total Nacional;14 Murcia, Región de;Valoración en especie;2022;72,23
Ambos sexos;Total Nacional;14 Murcia, Región de;Salario ordinario;2022;21.424,65
Ambos sexos;Total Nacional;15 Navarra, Comunidad Foral de;Salario bruto;2022;29.189,52
Ambos sexos;Total Nacional;15 Navarra, Comunidad Foral de;Pagos extraordinarios;2022;3.476,49
Ambos sexos;Total Nacional;15 Navarra, Comunidad Foral de;Valoración en especie;2022;86,23
Ambos sexos;Total Nacional;15 Navarra, Comunidad Foral de;Salario ordinario;2022;25.626,80
Ambos sexos;Total Nacional;16 País Vasco;Salario bruto;2022;32.313,73
Ambos sexos;Total Nacional;16 País Vasco;Pagos extraordinarios;2022;3.319,83
Ambos sexos;Total Nacional;16 País Vasco;Valoración en especie;2022;179,48
Ambos sexos;Total Nacional;16 País Vasco;Salario ordinario;2022;28.814,42
Ambos sexos;Total Nacional;17 Rioja, La;Salario bruto;2022;24.903,38
Ambos sexos;Total Nacional;17 Rioja, La;Pagos extraordinarios;2022;2.454,84
Ambos sexos;Total Nacional;17 Rioja, La;Valoración en especie;2022;67,93
Ambos sexos;Total Nacional;17 Rioja, La;Salario ordinario;2022;22.380,61
Ambos sexos;Ciudades de Ceuta y Melilla;;Salario bruto;2022;27.370,56
Ambos sexos;Ciudades de Ceuta y Melilla;;Pagos extraordinarios;2022;2.205,63
Ambos sexos;Ciudades de Ceuta y Melilla;;Valoración en especie;2022;58,37
Ambos sexos;Ciudades de Ceuta y Melilla;;Salario ordinario;2022;25.106,56
Mujeres;Total Nacional;;Salario bruto;2022;24.359,82
Mujeres;Total Nacional;;Pagos extraordinarios;2022;2.214,39
Mujeres;Total Nacional;;Valoración en especie;2022;110,54
Mujeres;Total Nacional;;Salario ordinario;2022;22.034,89
Mujeres;Total Nacional;01 Andalucía;Salario bruto;2022;21.649,50
Mujeres;Total Nacional;01 Andalucía;Pagos extraordinarios;2022;1.375,56
Mujeres;Total Nacional;01 Andalucía;Valoración en especie;2022;60,86
Mujeres;Total Nacional;01 Andalucía;Salario ordinario;2022;20.213,08
Mujeres;Total Nacional;02 Aragón;Salario bruto;2022;23.138,72
Mujeres;Total Nacional;02 Aragón;Pagos extraordinarios;2022;2.074,71
Mujeres;Total Nacional;02 Aragón;Valoración en especie;2022;57,27
Mujeres;Total Nacional;02 Aragón;Salario ordinario;2022;21.006,74
Mujeres;Total Nacional;03 Asturias, Principado de;Salario bruto;2022;23.792,42
