Sexo;Divisiones de la CNAE-09;Componentes del salario bruto anual;Periodo;Total
Ambos sexos;B_S Todas las divisiones;Salario bruto;2022;26.948,87
Ambos sexos;B_S Todas las divisiones;Pagos extraordinarios;2022;2.609,3
Ambos sexos;B_S Todas las divisiones;Valoración en especie;2022;147,64
Ambos sexos;B_S Todas las divisiones;Salario ordinario;2022;24.191,93
Ambos sexos;B Industrias extractivas;Salario bruto;2022;36.308,58
Ambos sexos;B Industrias extractivas;Pagos extraordinarios;2022;3.598,4
Ambos sexos;B Industrias extractivas;Valoración en especie;2022;131,12
Ambos sexos;B Industrias extractivas;Salario ordinario;2022;32.579,06
Ambos sexos;10 Industria de la alimentación;Salario bruto;2022;24.001,63
Ambos sexos;10 Industria de la alimentación;Pagos extraordinarios;2022;2.120,04
Ambos sexos;10 Industria de la alimentación;Valoración en especie;2022;88,49
Ambos sexos;10 Industria de la alimentación;Salario ordinario;2022;21.793,1
Ambos sexos;11 Fabricación de bebidas;Salario bruto;2022;34.075,92
Ambos sexos;11 Fabricación de bebidas;Pagos extraordinarios;2022;4.186,8
Ambos sexos;11 Fabricación de bebidas;Valoración en especie;2022;303,56
Ambos sexos;11 Fabricación de bebidas;Salario ordinario;2022;29.585,56
Ambos sexos;12 Industria del tabaco;Salario bruto;2022;-47.461,58
Ambos sexos;12 Industria del tabaco;Pagos extraordinarios;2022;-6.760,38
Ambos sexos;12 Industria del tabaco;Valoración en especie;2022;-991,14
Ambos sexos;12 Industria del tabaco;Salario ordinario;2022;-39.710,06
Ambos sexos;13 Industria textil;Salario bruto;2022;23.191,77
Ambos sexos;13 Industria textil;Pagos extraordinarios;2022;2.100,02
Ambos sexos;13 Industria textil;Valoración en especie;2022;54,97
Ambos sexos;13 Industria textil;Salario ordinario;2022;21.036,78
Ambos sexos;14 Confección de prendas de vestir;Salario bruto;2022;22.710,84
Ambos sexos;14 Confección de prendas de vestir;Pagos extraordinarios;2022;2.855,19
Ambos sexos;14 Confección de prendas de vestir;Valoración en especie;2022;72,46
Ambos sexos;14 Confección de prendas de vestir;Salario ordinario;2022;19.783,19
Ambos sexos;15 Industria del cuero y del calzado;Salario bruto;2022;19.373,71
Ambos sexos;15 Industria del cuero y del calzado;Pagos extraordinarios;2022;1.323,56
Ambos sexos;15 Industria del cuero y del calzado;Valoración en especie;2022;70,63
Ambos sexos;15 Industria del cuero y del calzado;Salario ordinario;2022;17.979,52
Ambos sexos;16 Industria de la madera y del corcho, excepto muebles, cestería y espartería;Salario bruto;2022;22.627,53
Ambos sexos;16 Industria de la madera y del corcho, excepto muebles, cestería y espartería;Pagos extraordinarios;2022;2.144,05
Ambos sexos;16 Industria de la madera y del corcho, excepto muebles, cestería y espartería;Valoración en especie;2022;79,94
Ambos sexos;16 Industria de la madera y del corcho, excepto muebles, cestería y espartería;Salario ordinario;2022;20.403,54
Ambos sexos;17 Industria del papel;Salario bruto;2022;30.975,33
Ambos sexos;17 Industria del papel;Pagos extraordinarios;2022;3.515,37
Ambos sexos;17 Industria del papel;Valoración en especie;2022;197,53
Ambos sexos;17 Industria del papel;Salario ordinario;2022;27.262,43
Ambos sexos;18 Artes gráficas y reproducción de soportes grabados;Salario bruto;2022;24.512,87
Ambos sexos;18 Artes gráficas y reproducción de soportes grabados;Pagos extraordinarios;2022;2.314,53
Ambos sexos;18 Artes gráficas y reproducción de soportes grabados;Valoración en especie;2022;117,29
Ambos sexos;18 Artes gráficas y reproducción de soportes grabados;Salario ordinario;2022;22.081,05
Ambos sexos;19 Coquerías y refino de petróleo;Salario bruto;2022;-65.598,74
Ambos sexos;19 Coquerías y refino de petróleo;Pagos extraordinarios;2022;-12.730,02
Ambos sexos;19 Coquerías y refino de petróleo;Valoración en especie;2022;-291,17
Ambos sexos;19 Coquerías y refino de petróleo;Salario ordinario;2022;-52.577,55
Ambos sexos;20 Industria química;Salario bruto;2022;38.026,36
Ambos sexos;20 Industria química;Pagos extraordinarios;2022;4.937,22
Ambos sexos;20 Industria química;Valoración en especie;2022;262,87
Ambos sexos;20 Industria química;Salario ordinario;2022;32.826,27
Ambos sexos;21 Fabricación de productos farmacéuticos;Salario bruto;2022;42.744,7
Ambos sexos;21 Fabricación de productos farmacéuticos;Pagos extraordinarios;2022;7.402,81
Ambos sexos;21 Fabricación de productos farmacéuticos;Valoración en especie;2022;584,82
Ambos sexos;21 Fabricación de productos farmacéuticos;Salario ordinario;2022;34.757,07
Ambos sexos;22 Fabricación de productos de caucho y plásticos;Salario bruto;2022;29.443,22
Ambos sexos;22 Fabricación de productos de caucho y plásticos;Pagos extraordinarios;2022;3.321,13
Ambos sexos;22 Fabricación de productos de caucho y plásticos;Valoración en especie;2022;89,46
Ambos sexos;22 Fabricación de productos de caucho y plásticos;Salario ordinario;2022;26.032,63
Ambos sexos;23 Fabricación de otros productos minerales no metálicos;Salario bruto;2022;31.600,44
Ambos sexos;23 Fabricación de otros productos minerales no metálicos;Pagos extraordinarios;2022;4.447,85
Ambos sexos;23 Fabricación de otros productos minerales no metálicos;Valoración en especie;2022;244,61
Ambos sexos;23 Fabricación de otros productos minerales no metálicos;Salario ordinario;2022;26.907,98
Ambos sexos;24 Metalurgia, fabricación de productos de hierro, acero y ferroaleaciones;Salario bruto;2022;36.554,69
Ambos sexos;24 Metalurgia, fabricación de productos de hierro, acero y ferroaleaciones;Pagos extraordinarios;2022;5.569,1
Ambos sexos;24 Metalurgia, fabricación de productos de hierro, acero y ferroaleaciones;Valoración en especie;2022;186,16
Ambos sexos;24 Metalurgia, fabricación de productos de hierro, acero y ferroaleaciones;Salario ordinario;2022;30.799,43
Ambos sexos;25 Fabricación de productos metálicos, excepto maquinaria y equipo;Salario bruto;2022;26.959,66
Ambos sexos;25 Fabricación de productos metálicos, excepto maquinaria y equipo;Pagos extraordinarios;2022;2.392,58
Ambos sexos;25 Fabricación de productos metálicos, excepto maquinaria y equipo;Valoración en especie;2022;81,73
Ambos sexos;25 Fabricación de productos metálicos, excepto maquinaria y equipo;Salario ordinario;2022;24.485,35
Ambos sexos;26 Fabricación de productos informáticos, electrónicos y ópticos;Salario bruto;2022;34.344,46
Ambos sexos;26 Fabricación de productos informáticos, electrónicos y ópticos;Pagos extraordinarios;2022;3.665,73
Ambos sexos;26 Fabricación de productos informáticos, electrónicos y ópticos;Valoración en especie;2022;197,94
Ambos sexos;26 Fabricación de productos informáticos, electrónicos y ópticos;Salario ordinario;2022;30.480,79
Ambos sexos;27 Fabricación de material y equipo eléctrico;Salario bruto;2022;34.397,39
Ambos sexos;27 Fabricación de material y equipo eléctrico;Pagos extraordinarios;2022;4.219,36
Ambos sexos;27 Fabricación de material y equipo eléctrico;Valoración en especie;2022;220,83
Ambos sexos;27 Fabricación de material y equipo eléctrico;Salario ordinario;2022;29.957,2
Ambos sexos;28 Fabricación de maquinaria y equipo n.c.o.p.;Salario bruto;2022;33.992,35
Ambos sexos;28 Fabricación de maquinaria y equipo n.c.o.p.;Pagos extraordinarios;2022;3.981,57
Ambos sexos;28 Fabricación de maquinaria y equipo n.c.o.p.;Valoración en especie;2022;99,75
Ambos sexos;28 Fabricación de maquinaria y equipo n.c.o.p.;Salario ordinario;2022;29.911,03
Ambos sexos;29 Fabricación de vehículos de motor, remolques y semirremolques;Salario bruto;2022;36.294,4
Ambos sexos;29 Fabricación de vehículos de motor, remolques y semirremolques;Pagos extraordinarios;2022;5.236,86
Ambos sexos;29 Fabricación de vehículos de motor, remolques y semirremolques;Valoración en especie;2022;185,59
Ambos sexos;29 Fabricación de vehículos de motor, remolques y semirremolques;Salario ordinario;2022;30.871,95
Ambos sexos;30 Fabricación de otro material de transporte;Salario bruto;2022;46.820,55
Ambos sexos;30 Fabricación de otro material de transporte;Pagos extraordinarios;2022;6.899,55
Ambos sexos;30 Fabricación de otro material de transporte;Valoración en especie;2022;229,79
Ambos sexos;30 Fabricación de otro material de transporte;Salario ordinario;2022;39.691,21
Ambos sexos;31 Fabricación de muebles;Salario bruto;2022;22.195,57
Ambos sexos;31 Fabricación de muebles;Pagos extraordinarios;2022;1.807,34
Ambos sexos;31 Fabricación de muebles;Valoración en especie;2022;48,48
Ambos sexos;31 Fabricación de muebles;Salario ordinario;2022;20.339,75
Ambos sexos;32 Otras industrias manufactureras;Salario bruto;2022;24.224,4
Ambos sexos;32 Otras industrias manufactureras;Pagos extraordinarios;2022;2.035,75
Ambos sexos;32 Otras industrias manufactureras;Valoración en especie;2022;114,03
Ambos sexos;32 Otras industrias manufactureras;Salario ordinario;2022;22.074,62
Ambos sexos;33 Reparación e instalación de maquinaria y equipo;Salario bruto;2022;28.777,49
Ambos sexos;33 Reparación e instalación de maquinaria y equipo;Pagos extraordinarios;2022;2.474,53
Ambos sexos;33 Reparación e instalación de maquinaria y equipo;Valoración en especie;2022;83,12
Ambos sexos;33 Reparación e instalación de maquinaria y equipo;Salario ordinario;2022;26.219,84
Ambos sexos;35 Suministro de energía eléctrica, gas, vapor y aire acondicionado;Salario bruto;2022;55.470,69
Ambos sexos;35 Suministro de energía eléctrica, gas, vapor y aire acondicionado;Pagos extraordinarios;2022;5.274,16
Ambos sexos;35 Suministro de energía eléctrica, gas, vapor y aire acondicionado;Valoración en especie;2022;1.252,36
Ambos sexos;35 Suministro de energía eléctrica, gas, vapor y aire acondicionado;Salario ordinario;2022;48.944,17
Ambos sexos;36 Captación, depuración y distribución de agua;Salario bruto;2022;35.112,92
Ambos sexos;36 Captación, depuración y distribución de agua;Pagos extraordinarios;2022;5.635,64
Ambos sexos;36 Captación, depuración y distribución de agua;Valoración en especie;2022;161,05
Ambos sexos;36 Captación, depuración y distribución de agua;Salario ordinario;2022;29.316,23
Ambos sexos;37 Recogida y tratamiento de aguas residuales;Salario bruto;2022;28.931,64
Ambos sexos;37 Recogida y tratamiento de aguas residuales;Pagos extraordinarios;2022;3.866,76
Ambos sexos;37 Recogida y tratamiento de aguas residuales;Valoración en especie;2022;123,03
Ambos sexos;37 Recogida y tratamiento de aguas residuales;Salario ordinario;2022;24.941,85
Ambos sexos;38 Recogida, tratamiento y eliminación de residuos, valorización;Salario bruto;2022;28.567,38
Ambos sexos;38 Recogida, tratamiento y eliminación de residuos, valorización;Pagos extraordinarios;2022;3.762,31
Ambos sexos;38 Recogida, tratamiento y eliminación de residuos, valorización;Valoración en especie;2022;45,75
Ambos sexos;38 Recogida, tratamiento y eliminación de residuos, valorización;Salario ordinario;2022;24.759,32
Ambos sexos;39 Actividades de descontaminación y otros servicios de gestión de residuos;Salario bruto;2022;-24.160,09
Ambos sexos;39 Actividades de descontaminación y otros servicios de gestión de residuos;Pagos extraordinarios;2022;-2.789,87
Ambos sexos;39 Actividades de descontaminación y otros servicios de gestión de residuos;Valoración en especie;2022;-136,64
Ambos sexos;39 Actividades de descontaminación y otros servicios de gestión de residuos;Salario ordinario;2022;-21.233,58
Ambos sexos;41 Construcción de edificios;Salario bruto;2022;25.418,13
Ambos sexos;41 Construcción de edificios;Pagos extraordinarios;2022;2.769,47
Ambos sexos;41 Construcción de edificios;Valoración en especie;2022;54,42
Ambos sexos;41 Construcción de edificios;Salario ordinario;2022;22.594,24
Ambos sexos;42 Ingeniería civil;Salario bruto;2022;30.626,69
Ambos sexos;42 Ingeniería civil;Pagos extraordinarios;2022;3.372,54
Ambos sexos;42 Ingeniería civil;Valoración en especie;2022;103,37
Ambos sexos;42 Ingeniería civil;Salario ordinario;2022;27.150,78
Ambos sexos;43 Actividades de construcción especializada;Salario bruto;2022;24.419,1
