DATAFLOW,LAST UPDATE,freq,currency,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Armenia,2005,52060,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Armenia,2006,62293,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Armenia,2007,74227,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Armenia,2008,87406,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Armenia,2009,96019,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Armenia,2010,102652,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Armenia,2011,108092,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Armenia,2012,140739,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Armenia,2013,146524,bp,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Armenia,2014,158580,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Armenia,2015,171615,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Armenia,2016,174445,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Armenia,2017,166004,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Armenia,2018,172727,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Armenia,2019,182673,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Armenia,2020,189716,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Armenia,2021,204048,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Azerbaijan,2005,124,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Azerbaijan,2006,149,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Azerbaijan,2007,216,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Azerbaijan,2008,274,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Azerbaijan,2009,298,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Azerbaijan,2010,332,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Azerbaijan,2011,364,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Azerbaijan,2012,398,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Azerbaijan,2013,425,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Azerbaijan,2014,445,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Azerbaijan,2015,467,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Azerbaijan,2016,500,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Azerbaijan,2017,529,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Azerbaijan,2018,545,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Azerbaijan,2019,635,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Azerbaijan,2020,708,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Azerbaijan,2021,732,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Azerbaijan,2022,840,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Azerbaijan,2023,934,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Azerbaijan,2024,1009,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Belarus,2005,463741,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Belarus,2006,582166,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Belarus,2007,694045,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Belarus,2008,868169,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Belarus,2009,981584,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Belarus,2010,1217313,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Belarus,2011,1899782,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Belarus,2012,3676083,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Belarus,2013,5061418,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Belarus,2014,6052367,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Belarus,2015,6714997,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Belarus,2016,723,b,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Belarus,2017,823,,
